method,graph,trial,penalty,fdp,tdp,d_cpdag,union_target_error,fit_seconds,metric_seconds,mip_gap,status,error,target_penalty,dcdi_hidden_dim,dcdi_mu_init,dcdi_max_iterations
gnies,2,1,100.0,0.7142857142857143,0.4117647058823529,15,19,4.183141133747995,0.0019701891578733,,ok,,,,,
gnies,2,1,200.0,0.6666666666666666,0.1764705882352941,17,19,2.551390481647104,0.001160723157227,,ok,,,,,
mip_profiled,3,1,0.001,0.5625,0.9714285714285714,47,5,158.48799474118275,0.0048313308507204,7.621437564942574e-05,ok,,,,,
mip_profiled,3,1,0.0025,0.4852941176470588,0.9714285714285714,35,5,91.9570600152947,0.0046744090504944,8.79900332976132e-10,ok,,,,,
mip_profiled,3,1,0.005,0.396551724137931,0.9714285714285714,24,5,98.18067765515298,0.004578361287713,5.731480442769773e-05,ok,,,,,
mip_profiled,3,1,0.01,0.1707317073170731,0.9428571428571428,9,5,50.08656047284603,0.0042378520593047,2.150910656802007e-08,ok,,,,,
mip_profiled,3,1,0.02,0.0285714285714285,0.9428571428571428,3,4,42.04742783214897,0.0039510689675807,2.634632934551622e-09,ok,,,,,
mip_profiled,3,1,0.04,0.0294117647058823,0.9142857142857144,4,3,27.02965396689251,0.0042113279923796,0.0,ok,,,,,
mip_profiled,3,1,0.08,0.0294117647058823,0.9142857142857144,4,3,24.814037672709674,0.0039079790003597,0.0,ok,,,,,
mip_profiled,3,1,0.1,0.0294117647058823,0.9428571428571428,3,4,24.83717318298295,0.0041585499420762,7.437789667631128e-05,ok,,,,,
mip_profiled,3,1,0.16,0.088235294117647,0.9142857142857144,6,9,24.546874900348485,0.0040461937896907,0.0,ok,,,,,
mip_profiled,3,1,0.32,0.15,0.4857142857142857,21,16,24.44497620407492,0.0037895287387073,0.0,ok,,,,,
mip_profiled,3,1,0.64,0.25,0.0857142857142857,34,29,24.461719630286098,0.003624415025115,3.452134206369734e-05,ok,,,,,
gnies,3,1,10.0,0.4722222222222222,0.7428571428571429,30,39,292.1637579719536,0.1168958591297268,,ok,,,,,
gnies,3,1,20.0,0.3235294117647059,0.9142857142857144,16,40,210.71950191725043,0.0756340259686112,,ok,,,,,
gnies,3,1,30.0,0.3235294117647059,0.9142857142857144,16,40,203.8634603950195,0.0751451952382922,,ok,,,,,
gnies,3,1,40.0,0.3235294117647059,0.9142857142857144,16,40,200.31978869996965,0.0751333199441433,,ok,,,,,
gnies,3,1,60.0,0.34375,0.8857142857142857,17,40,180.0479450901039,0.2566848383285105,,ok,,,,,
gnies,3,1,80.0,0.3703703703703703,0.7428571428571429,21,40,144.825046248734,0.0646423902362585,,ok,,,,,
gnies,3,1,120.0,0.45,0.5428571428571429,24,40,112.33949101623148,0.0326976450160145,,ok,,,,,
gnies,3,1,160.0,0.5714285714285714,0.3714285714285714,30,40,82.61845615319908,0.0179031817242503,,ok,,,,,
gnies,3,1,240.0,0.75,0.1999999999999999,36,40,53.91135824704543,0.0046474640257656,,ok,,,,,
gnies,3,1,320.0,1.0,0.0285714285714285,36,40,25.976381722837687,0.0034893262200057,,ok,,,,,
mip_profiled,1,2,0.001,0.2222222222222222,0.8571428571428572,3,1,0.3133789850398898,0.0008328012190759,0.0,ok,,,,,
mip_profiled,1,2,0.0025,0.25,0.7142857142857143,4,1,0.2404627101495862,0.0007708151824772,0.0,ok,,,,,
mip_profiled,1,2,0.005,0.25,0.7142857142857143,4,1,0.2332683131098747,0.0007471921853721,9.509753801214404e-08,ok,,,,,
mip_profiled,1,2,0.01,0.125,0.8571428571428572,2,1,0.2337537170387804,0.0007534977048635,2.587960192143442e-06,ok,,,,,
mip_profiled,1,2,0.02,0.0,0.8571428571428572,1,1,0.2369611803442239,0.0007378379814326,0.0,ok,,,,,
mip_profiled,1,2,0.04,0.0,0.8571428571428572,1,1,0.2368918322026729,0.0007328819483518,0.0,ok,,,,,
mip_profiled,1,2,0.08,0.0,0.8571428571428572,1,1,0.2267360282130539,0.0007215780206024,0.0,ok,,,,,
mip_profiled,1,2,0.1,0.0,0.8571428571428572,1,2,0.2236191839911043,0.0007315259426832,0.0,ok,,,,,
mip_profiled,1,2,0.16,0.2,0.5714285714285714,4,1,0.2217783336527645,0.0007380419410765,0.0,ok,,,,,
mip_profiled,1,2,0.32,0.3333333333333333,0.1428571428571429,7,3,0.2195613239891827,0.0006768591701984,0.0,ok,,,,,
gnies,1,2,0.005,0.9047619047619048,0.4285714285714286,42,2,27.58265472203493,0.0012644445523619,,ok,,,,,
gnies,1,2,0.01,0.9047619047619048,0.4285714285714286,42,2,24.23369309399277,0.0012905951589345,,ok,,,,,
gnies,1,2,0.03,0.9,0.4285714285714286,40,2,20.0698960297741,0.001221272163093,,ok,,,,,
gnies,1,2,0.1,0.875,0.4285714285714286,32,2,14.89693395094946,0.000954951159656,,ok,,,,,
gnies,1,2,0.3,0.84,0.4285714285714286,25,2,9.879030254203826,0.0011368268169462,,ok,,,,,
